Marital_status,Application_mode,Application_order,Course,schedule_attendance,Previous_qualification,Previous_qualification_grade,Nationality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,General Admission Phases,High Preference,Tourism,evening,High School Level,116.0,Portuguese,Low Educated,Low Educated,Service/Sales,Machine/Vehicle Operators,110.8,yes,no,no,yes,female,no,18,no,0,6,8,6,12.17,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Non Dropout
single,General Admission Phases,High Preference,Basic Education,evening,High School Level,147.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,142.8,yes,no,no,yes,female,no,23,no,0,6,11,2,10.0,0,0,6,15,2,11.0,0,7.6,2.6,0.32,Dropout
single,General Admission Phases,Medium Preference,Communication Design,evening,High School Level,160.0,Portuguese,Medium Educated,Medium-Low Educated,Service/Sales,Machine/Vehicle Operators,155.5,yes,no,no,yes,female,no,18,no,0,6,6,6,14.0,0,0,6,6,6,15.0,0,11.1,0.6,2.02,Non Dropout
single,General Admission Phases,High Preference,Basic Education,evening,High School Level,133.0,Portuguese,Low Educated,Medium-Low Educated,Machine/Vehicle Operators,Machine/Vehicle Operators,126.7,yes,no,no,yes,female,no,18,no,0,6,9,5,11.83,0,0,6,6,4,12.0,0,15.5,2.8,-4.06,Non Dropout
married,Mature and International Students,High Preference,Journalism and Communication,evening,High School Level,100.0,Portuguese,Low Educated,Low Educated,Student,Student,163.5,no,no,yes,no,male,no,50,no,0,6,7,1,15.0,0,0,5,12,0,0.0,0,10.8,1.4,1.74,Dropout
single,General Admission Phases,High Preference,Animation and Multimedia Design,evening,High School Level,151.0,Brazil,High Educated,High Educated,Professional/Managerial,Service/Sales,161.9,yes,no,no,yes,female,yes,19,yes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,High Preference,Tourism,evening,High School Level,124.0,Brazil,Medium-Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,123.3,yes,no,no,yes,female,no,22,yes,0,6,7,6,10.83,0,0,6,6,6,10.67,0,13.9,-0.3,0.79,Non Dropout
single,Prior Higher Education Holders,High Preference,Social Service,evening,Specialized Technical,140.0,Brazil,Medium Educated,Medium Educated,Professional/Managerial,Agriculture,137.5,no,no,yes,yes,female,yes,23,yes,3,6,7,6,13.14,0,2,6,6,6,14.0,0,12.4,0.5,1.79,Non Dropout
single,General Admission Phases,Medium Preference,Veterinary Nursing,evening,High School Level,170.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Service/Sales,166.6,no,no,yes,no,female,yes,20,no,2,5,8,5,14.4,1,0,5,6,5,14.0,0,12.7,3.7,-1.7,Dropout
divorced,Mature and International Students,High Preference,Social Service,evening,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Military,103.5,no,no,no,no,female,no,44,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
divorced,Mature and International Students,High Preference,Agronomy,evening,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,110.0,no,no,no,yes,male,no,49,no,6,12,17,7,12.0,0,3,12,19,9,11.22,0,15.5,2.8,-4.06,Non Dropout
married,Transfers and Course Changes,High Preference,Management,daytime,High School Level,100.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,128.2,no,no,no,yes,male,no,46,no,6,10,13,9,12.2,0,4,10,12,10,12.8,0,7.6,2.6,0.32,Non Dropout
single,Mature and International Students,High Preference,Veterinary Nursing,evening,Specialized Technical,120.0,Portuguese,Low Educated,Low Educated,Professional/Managerial,Unskilled Labor,137.7,yes,no,no,no,male,no,41,no,3,3,3,3,12.33,0,2,2,2,2,11.0,0,12.4,0.5,1.79,Dropout
single,General Admission Phases,Medium Preference,Nursing,evening,High School Level,133.0,Portuguese,Low Educated,Medium-Low Educated,Unskilled Labor,Machine/Vehicle Operators,128.8,yes,no,no,yes,male,no,18,no,0,7,8,7,11.84,0,0,8,9,8,12.48,0,13.9,-0.3,0.79,Non Dropout
others,Mature and International Students,High Preference,Management,daytime,High School Level,120.0,Portuguese,Low Educated,Medium Educated,Unskilled Labor,Professional/Managerial,170.0,no,no,no,yes,male,no,43,no,0,5,5,5,11.8,0,0,5,6,5,14.0,0,9.4,-0.8,-3.12,Non Dropout
divorced,Mature and International Students,High Preference,Management,evening,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,116.4,no,no,yes,no,male,no,70,no,0,5,5,0,0.0,0,0,5,9,0,0.0,0,10.8,1.4,1.74,Dropout
divorced,Mature and International Students,High Preference,Equinculture,evening,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Professional/Managerial,100.9,no,no,no,yes,male,no,48,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
married,Transfers and Course Changes,High Preference,Agronomy,evening,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,136.0,no,no,no,yes,male,no,41,no,18,19,19,19,12.68,0,12,13,13,13,12.38,0,15.5,2.8,-4.06,Non Dropout
single,General Admission Phases,High Preference,Tourism,evening,High School Level,140.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Unskilled Labor,Professional/Managerial,130.0,no,no,no,yes,male,no,21,no,0,6,8,6,12.57,0,0,6,10,4,13.0,0,12.7,3.7,-1.7,Non Dropout
single,Mature and International Students,High Preference,Biofuel Production Technologies,evening,High School Level,100.0,Brazil,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,100.0,no,no,yes,no,male,no,35,yes,0,7,18,3,11.25,0,0,7,7,0,0.0,0,16.2,0.3,-0.92,Dropout
married,Mature and International Students,High Preference,Equinculture,evening,High School Level,133.1,Portuguese,High Educated,Medium Educated,Professional/Managerial,Unskilled Labor,157.0,yes,no,no,yes,male,no,44,no,1,5,13,4,14.0,3,1,5,9,4,15.5,2,10.8,1.4,1.74,Non Dropout
single,General Admission Phases,High Preference,Management,evening,High School Level,143.0,Portuguese,High Educated,Medium Educated,Service/Sales,Service/Sales,152.1,yes,no,yes,yes,male,no,18,no,0,5,15,4,13.33,0,0,5,6,2,13.5,0,13.9,-0.3,0.79,Dropout
married,General Admission Phases,High Preference,Social Service,daytime,High School Level,165.0,Portuguese,Low Educated,Low Educated,Student,Student,162.9,yes,no,no,yes,male,no,45,no,0,6,7,6,13.67,0,0,6,6,6,13.67,0,7.6,2.6,0.32,Non Dropout
single,General Admission Phases,High Preference,Tourism,evening,High School Level,154.0,Portuguese,High Educated,Medium Educated,Professional/Managerial,Professional/Managerial,137.2,no,no,no,yes,male,no,20,no,0,6,12,3,10.0,0,0,6,9,5,10.8,0,15.5,2.8,-4.06,Non Dropout
single,Prior Higher Education Holders,High Preference,Agronomy,evening,Specialized Technical,140.0,Portuguese,Medium Educated,Low Educated,Unskilled Labor,Professional/Managerial,140.0,yes,no,no,yes,male,no,22,no,0,6,12,5,12.6,0,0,6,11,6,11.71,0,12.4,0.5,1.79,Non Dropout
single,Transfers and Course Changes,High Preference,Informatics Engineering,evening,High School Level,140.0,Portuguese,Low Educated,Low Educated,Service/Sales,Machine/Vehicle Operators,146.5,no,no,no,yes,male,no,39,no,0,5,10,3,17.33,0,0,5,11,1,17.0,0,13.9,-0.3,0.79,Dropout
single,Prior Higher Education Holders,High Preference,Veterinary Nursing,evening,Specialized Technical,130.0,Portuguese,High Educated,High Educated,Agriculture,Agriculture,130.0,no,no,no,no,male,no,20,no,2,6,10,5,13.2,0,1,6,21,3,12.0,0,12.4,0.5,1.79,Non Dropout
married,Mature and International Students,High Preference,Management,evening,High School Level,133.1,Portuguese,Low Educated,Medium-Low Educated,Unskilled Labor,Professional/Managerial,128.0,no,no,no,yes,male,no,49,no,0,5,9,3,14.0,0,0,5,8,3,13.67,0,8.9,1.4,3.51,Dropout
single,Prior Higher Education Holders,High Preference,Oral Hygiene,evening,Master and Doctorate,190.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,190.0,yes,no,no,yes,male,no,43,no,4,4,4,4,13.88,0,1,1,1,1,12.5,0,11.1,0.6,2.02,Dropout
married,Mature and International Students,High Preference,Management,daytime,High School Level,120.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,133.2,yes,no,no,yes,male,no,32,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,Mature and International Students,High Preference,Social Service,evening,High School Level,100.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,124.3,no,no,no,yes,male,no,47,no,3,9,9,9,13.11,0,3,7,7,7,14.86,0,10.8,1.4,1.74,Non Dropout
others,Mature and International Students,High Preference,Management,daytime,High School Level,120.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,138.1,no,no,no,yes,male,yes,37,no,0,5,8,5,13.0,0,0,5,11,4,13.33,2,16.2,0.3,-0.92,Dropout
married,Mature and International Students,High Preference,Social Service,daytime,High School Level,133.1,Portuguese,Medium-Low Educated,Medium Educated,Professional/Managerial,Machine/Vehicle Operators,144.3,no,no,no,yes,male,no,41,no,6,10,10,10,12.5,0,3,7,7,7,12.14,0,10.8,1.4,1.74,Non Dropout
married,Mature and International Students,High Preference,Agronomy,evening,High School Level,150.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Agriculture,140.0,no,no,no,yes,male,no,60,no,17,18,18,18,14.11,0,11,13,13,13,14.23,0,15.5,2.8,-4.06,Non Dropout
married,Mature and International Students,High Preference,Tourism,evening,High School Level,120.0,Portuguese,Medium Educated,Medium-Low Educated,Unskilled Labor,Unskilled Labor,148.3,no,no,no,yes,male,no,47,no,6,11,11,11,14.73,0,6,9,9,9,15.78,0,10.8,1.4,1.74,Non Dropout
single,Mature and International Students,High Preference,Social Service,daytime,High School Level,133.1,Portuguese,Low Educated,Medium Educated,Unskilled Labor,Machine/Vehicle Operators,96.0,no,no,yes,no,male,no,50,no,0,6,6,0,0.0,0,0,5,6,0,0.0,0,12.4,0.5,1.79,Dropout
married,Mature and International Students,High Preference,Management,daytime,High School Level,133.1,Portuguese,Low Educated,Low Educated,Others,Others,121.7,yes,no,no,yes,male,no,45,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,Mature and International Students,High Preference,Informatics Engineering,evening,High School Level,100.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,160.0,no,no,yes,no,male,no,45,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
married,Mature and International Students,High Preference,Veterinary Nursing,evening,High School Level,133.1,Portuguese,Low Educated,Low Educated,Others,Others,110.3,no,no,no,yes,male,no,33,no,0,5,7,4,13.5,0,0,5,6,5,11.6,0,7.6,2.6,0.32,Non Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,143.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,129.0,no,no,no,yes,male,no,18,no,0,8,8,7,13.11,0,0,8,8,7,13.11,0,10.8,1.4,1.74,Non Dropout
married,Mature and International Students,High Preference,Veterinary Nursing,evening,High School Level,120.0,Portuguese,Low Educated,Low Educated,Agriculture,Agriculture,150.0,no,no,no,yes,male,no,43,no,0,5,8,5,13.5,2,0,5,5,5,14.4,0,9.4,-0.8,-3.12,Non Dropout
single,Transfers and Course Changes,High Preference,Social Service,daytime,High School Level,161.0,Portuguese,Medium-Low Educated,Low Educated,Professional/Managerial,Military,100.0,no,no,no,yes,male,no,44,no,9,13,18,13,11.85,0,9,11,11,11,12.0,0,12.7,3.7,-1.7,Non Dropout
single,Mature and International Students,High Preference,Equinculture,evening,High School Level,133.1,Portuguese,Unknown,Low Educated,Student,Others,107.5,no,no,no,yes,male,no,29,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
divorced,Mature and International Students,High Preference,Advertising and Marketing Management,evening,High School Level,140.0,Portuguese,High Educated,Medium Educated,Professional/Managerial,Unskilled Labor,170.0,no,no,yes,no,male,no,53,no,0,6,11,3,14.33,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Dropout
married,Transfers and Course Changes,High Preference,Management,daytime,Others,123.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,123.0,no,no,no,yes,male,no,37,no,0,5,10,5,15.8,0,0,5,5,5,17.6,0,9.4,-0.8,-3.12,Non Dropout
single,Transfers and Course Changes,High Preference,Advertising and Marketing Management,evening,High School Level,142.0,Portuguese,Low Educated,Medium Educated,Machine/Vehicle Operators,Military,138.5,yes,no,no,yes,male,no,18,no,0,6,16,5,13.8,0,0,6,7,5,12.4,0,13.9,-0.3,0.79,Non Dropout
single,Transfers and Course Changes,High Preference,Biofuel Production Technologies,evening,High School Level,133.1,Portuguese,Low Educated,Low Educated,Professional/Managerial,Professional/Managerial,140.0,no,no,yes,yes,male,no,35,no,3,10,18,6,12.67,0,1,9,11,3,12.0,2,16.2,0.3,-0.92,Dropout
single,General Admission Phases,High Preference,Tourism,evening,High School Level,115.0,Portuguese,Medium-Low Educated,Medium Educated,Professional/Managerial,Machine/Vehicle Operators,113.6,no,no,no,yes,male,no,23,no,0,6,10,6,13.0,0,0,6,9,6,12.0,0,11.1,0.6,2.02,Non Dropout
single,General Admission Phases,High Preference,Animation and Multimedia Design,evening,High School Level,156.0,Portuguese,Medium-Low Educated,Low Educated,Unskilled Labor,Service/Sales,170.0,yes,no,no,yes,male,no,22,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Non Dropout
single,Mature and International Students,High Preference,Social Service,daytime,High School Level,140.0,Portuguese,Low Educated,Low Educated,Others,Service/Sales,115.5,no,no,no,no,male,no,33,no,0,6,6,1,11.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,Prior Higher Education Holders,Medium Preference,Equinculture,evening,Bachelor Level,130.0,Portuguese,Low Educated,Medium-Low Educated,Others,Military,130.0,no,no,no,no,male,no,41,no,0,5,9,0,0.0,4,0,5,9,0,0.0,3,10.8,1.4,1.74,Dropout
divorced,Prior Higher Education Holders,High Preference,Nursing,evening,Bachelor Level,140.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,140.0,no,no,no,yes,male,no,51,no,4,7,7,7,15.2,0,6,8,8,8,16.58,0,13.9,-0.3,0.79,Non Dropout
single,Transfers and Course Changes,High Preference,Advertising and Marketing Management,evening,High School Level,140.0,Portuguese,Medium Educated,High Educated,Professional/Managerial,Professional/Managerial,126.6,no,no,no,yes,male,no,19,no,2,6,7,6,14.43,0,1,7,8,7,14.38,0,11.1,0.6,2.02,Non Dropout
single,Mature and International Students,High Preference,Management,daytime,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,143.2,no,no,no,yes,male,no,35,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
single,General Admission Phases,High Preference,Animation and Multimedia Design,evening,High School Level,131.0,Brazil,Medium-Low Educated,Medium Educated,Professional/Managerial,Machine/Vehicle Operators,131.4,yes,no,no,yes,male,no,20,yes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Non Dropout
single,Transfers and Course Changes,High Preference,Advertising and Marketing Management,evening,High School Level,141.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,133.3,yes,no,no,yes,male,no,18,no,0,6,13,4,13.75,0,0,6,8,5,11.2,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,High Preference,Journalism and Communication,evening,High School Level,120.0,Portuguese,Medium-Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,118.3,no,no,yes,no,male,yes,18,no,0,6,11,5,12.17,0,0,6,15,3,12.0,0,13.9,-0.3,0.79,Dropout
single,Prior Higher Education Holders,High Preference,Agronomy,evening,Specialized Technical,140.0,Portuguese,High Educated,Medium Educated,Professional/Managerial,Agriculture,140.0,no,no,no,yes,male,no,21,no,0,6,12,5,12.14,0,0,6,11,5,11.67,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,High Preference,Tourism,evening,High School Level,132.0,Portuguese,Medium Educated,Medium-Low Educated,Agriculture,Agriculture,124.7,yes,no,no,yes,male,no,21,no,0,6,9,6,12.0,0,0,6,8,5,11.6,0,13.9,-0.3,0.79,Non Dropout
married,Mature and International Students,High Preference,Management,evening,High School Level,130.0,Portuguese,Medium-Low Educated,Low Educated,Professional/Managerial,Machine/Vehicle Operators,140.0,no,no,no,yes,male,no,34,no,0,5,10,3,11.67,1,0,5,7,4,12.75,0,9.4,-0.8,-3.12,Non Dropout
divorced,Mature and International Students,High Preference,Equinculture,evening,High School Level,140.0,Portuguese,Low Educated,Low Educated,Agriculture,Machine/Vehicle Operators,150.0,yes,no,no,yes,male,no,34,no,0,6,9,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout
single,General Admission Phases,High Preference,Advertising and Marketing Management,evening,High School Level,110.0,Portuguese,High Educated,High Educated,Professional/Managerial,Military,115.6,yes,no,no,yes,male,no,21,no,0,6,10,6,11.88,0,0,6,8,5,12.0,0,11.1,0.6,2.02,Non Dropout
single,Transfers and Course Changes,High Preference,Journalism and Communication,evening,High School Level,140.0,Portuguese,High Educated,Low Educated,Professional/Managerial,Machine/Vehicle Operators,116.9,no,no,no,yes,male,no,32,no,6,11,15,7,11.29,0,5,7,10,6,12.33,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,High Preference,Tourism,evening,High School Level,130.0,Portuguese,Low Educated,Low Educated,Service/Sales,Machine/Vehicle Operators,123.4,yes,no,no,yes,male,no,30,no,0,6,17,2,10.0,0,0,6,15,3,11.33,0,7.6,2.6,0.32,Dropout
single,General Admission Phases,High Preference,Animation and Multimedia Design,evening,High School Level,137.0,Portuguese,Medium Educated,High Educated,Professional/Managerial,Machine/Vehicle Operators,146.5,yes,no,yes,yes,male,no,19,no,6,12,13,11,12.0,0,4,11,15,10,11.18,0,8.9,1.4,3.51,Non Dropout
single,Transfers and Course Changes,High Preference,Journalism and Communication,evening,High School Level,158.0,Portuguese,Medium Educated,Medium-Low Educated,Machine/Vehicle Operators,Machine/Vehicle Operators,117.1,yes,no,no,yes,male,no,20,no,1,7,7,6,13.83,0,1,6,7,5,13.0,0,8.9,1.4,3.51,Dropout
single,General Admission Phases,High Preference,Communication Design,evening,High School Level,124.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Unskilled Labor,Machine/Vehicle Operators,113.9,yes,no,no,yes,male,no,18,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
single,General Admission Phases,High Preference,Tourism,evening,High School Level,136.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,128.7,no,no,no,yes,male,no,19,no,0,6,7,6,14.43,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Non Dropout
single,General Admission Phases,Medium Preference,Nursing,evening,High School Level,142.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,132.9,yes,no,no,yes,male,no,18,no,0,7,8,5,14.2,0,0,7,9,6,12.4,0,12.4,0.5,1.79,Dropout
single,Mature and International Students,High Preference,Management,daytime,High School Level,150.0,Portuguese,Medium Educated,Medium-Low Educated,Professional/Managerial,Machine/Vehicle Operators,123.0,no,no,no,yes,male,no,27,no,0,5,8,4,11.5,0,0,5,9,3,10.33,0,12.7,3.7,-1.7,Dropout
single,Mature and International Students,High Preference,Journalism and Communication,evening,High School Level,120.0,Portuguese,Medium Educated,Medium Educated,Unskilled Labor,Unskilled Labor,129.8,yes,no,no,yes,male,no,52,no,0,6,7,5,13.0,0,0,6,6,6,15.0,0,9.4,-0.8,-3.12,Non Dropout
married,Transfers and Course Changes,High Preference,Agronomy,evening,High School Level,149.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Service/Sales,156.1,yes,no,no,no,male,no,29,no,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Dropout
single,Transfers and Course Changes,High Preference,Agronomy,evening,Specialized Technical,130.0,Portuguese,Medium Educated,Medium-Low Educated,Professional/Managerial,Professional/Managerial,120.0,yes,no,yes,no,male,no,22,no,0,6,12,3,11.33,0,0,6,13,2,11.0,0,8.9,1.4,3.51,Dropout
single,Transfers and Course Changes,High Preference,Veterinary Nursing,evening,High School Level,110.0,Africa,Low Educated,Low Educated,Unskilled Labor,Agriculture,117.2,yes,no,no,yes,male,no,28,yes,13,18,45,18,12.5,12,10,13,26,12,11.43,6,15.5,2.8,-4.06,Non Dropout
single,Mature and International Students,High Preference,Advertising and Marketing Management,evening,Others,133.1,Portuguese,Medium Educated,Medium Educated,Others,Professional/Managerial,107.0,yes,no,no,yes,male,no,30,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,134.0,Portuguese,Medium Educated,Medium Educated,Service/Sales,Professional/Managerial,128.4,yes,no,no,yes,female,no,18,no,0,7,7,7,13.47,0,0,8,9,8,13.94,0,16.2,0.3,-0.92,Non Dropout
single,General Admission Phases,High Preference,Advertising and Marketing Management,evening,High School Level,130.0,Portuguese,Low Educated,Low Educated,Service/Sales,Service/Sales,123.4,yes,no,no,yes,female,no,21,no,0,5,5,4,11.75,0,0,5,5,3,13.33,0,9.4,-0.8,-3.12,Non Dropout
single,General Admission Phases,High Preference,Communication Design,evening,High School Level,141.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,126.7,yes,no,yes,yes,female,yes,20,no,0,6,9,6,13.33,0,0,6,10,6,14.67,0,12.7,3.7,-1.7,Non Dropout
single,Transfers and Course Changes,High Preference,Nursing,evening,High School Level,123.0,Portuguese,Low Educated,Low Educated,Professional/Managerial,Professional/Managerial,123.0,yes,no,no,yes,female,yes,21,no,0,8,8,8,13.1,0,0,8,8,8,13.1,0,9.4,-0.8,-3.12,Non Dropout
married,Mature and International Students,High Preference,Management,daytime,High School Level,133.1,Portuguese,Medium-Low Educated,Low Educated,Machine/Vehicle Operators,Unskilled Labor,137.2,no,no,yes,no,female,no,32,no,0,5,5,0,0.0,0,0,5,6,0,0.0,0,10.8,1.4,1.74,Dropout
single,General Admission Phases,Medium Preference,Communication Design,evening,High School Level,122.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,125.9,yes,no,no,yes,male,yes,20,no,0,6,6,6,15.5,0,0,6,7,6,12.17,0,12.4,0.5,1.79,Non Dropout
single,General Admission Phases,Medium Preference,Animation and Multimedia Design,evening,High School Level,132.0,Portuguese,Medium Educated,Medium-Low Educated,Professional/Managerial,Service/Sales,138.0,yes,no,yes,no,male,no,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,Mature and International Students,High Preference,Advertising and Marketing Management,evening,High School Level,133.1,Brazil,Medium Educated,Medium Educated,Unskilled Labor,Service/Sales,128.2,no,no,yes,no,male,no,18,yes,0,6,6,4,11.25,0,0,6,7,3,12.33,0,8.9,1.4,3.51,Dropout
single,Transfers and Course Changes,High Preference,Management,daytime,High School Level,130.0,Portuguese,Low Educated,High Educated,Unskilled Labor,Professional/Managerial,126.5,yes,no,no,no,male,no,23,no,10,15,24,12,11.0,0,10,14,21,11,11.36,1,7.6,2.6,0.32,Dropout
single,General Admission Phases,High Preference,Tourism,evening,High School Level,111.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Professional/Managerial,112.4,yes,no,no,yes,male,no,20,no,0,6,10,6,12.33,0,0,6,9,4,13.0,0,12.4,0.5,1.79,Non Dropout
married,Transfers and Course Changes,High Preference,Management,evening,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,109.0,yes,no,no,yes,female,no,46,no,4,9,18,8,11.38,2,0,5,11,5,11.8,0,9.4,-0.8,-3.12,Non Dropout
single,General Admission Phases,High Preference,Agronomy,evening,High School Level,125.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,100.0,no,no,no,yes,male,no,27,no,16,18,19,18,12.22,0,9,12,15,12,12.38,0,15.5,2.8,-4.06,Non Dropout
single,Special Regional Quotas,High Preference,Animation and Multimedia Design,evening,High School Level,137.0,Portuguese,High Educated,Medium-Low Educated,Professional/Managerial,Military,144.7,yes,no,no,yes,male,no,20,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Non Dropout
married,Transfers and Course Changes,Medium Preference,Social Service,daytime,High School Level,100.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,120.0,yes,no,no,yes,male,no,41,no,5,9,11,9,12.0,0,3,7,8,6,12.0,0,9.4,-0.8,-3.12,Non Dropout
single,Mature and International Students,High Preference,Management,evening,High School Level,133.1,Africa,Medium Educated,High Educated,Agriculture,Professional/Managerial,100.0,no,no,yes,yes,male,no,40,yes,0,5,10,1,11.0,0,0,5,10,1,10.0,0,11.1,0.6,2.02,Non Dropout
married,Prior Higher Education Holders,High Preference,Social Service,daytime,Specialized Technical,150.0,Portuguese,Medium Educated,Medium Educated,Service/Sales,Service/Sales,154.0,no,no,no,yes,male,no,37,no,12,16,17,16,14.12,0,6,11,14,10,13.0,0,12.4,0.5,1.79,Non Dropout
single,General Admission Phases,Medium Preference,Management,evening,High School Level,120.0,Portuguese,Low Educated,Low Educated,Service/Sales,Military,111.3,no,no,no,yes,male,no,20,no,0,5,8,5,10.2,0,0,5,7,5,11.2,0,12.4,0.5,1.79,Non Dropout
single,Prior Higher Education Holders,High Preference,Equinculture,evening,Specialized Technical,150.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Professional/Managerial,150.0,yes,no,no,yes,female,no,20,no,0,5,7,4,12.0,1,0,5,6,4,12.4,0,10.8,1.4,1.74,Non Dropout
single,Prior Higher Education Holders,High Preference,Management,daytime,Bachelor Level,133.1,Portuguese,Medium Educated,Low Educated,Professional/Managerial,Professional/Managerial,100.0,no,no,no,yes,female,no,26,no,8,9,11,9,12.33,0,4,7,7,7,12.57,0,12.4,0.5,1.79,Non Dropout
married,Mature and International Students,High Preference,Social Service,daytime,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,162.5,no,no,no,yes,male,no,54,no,4,9,9,9,14.33,0,2,7,7,7,13.86,0,8.9,1.4,3.51,Non Dropout
single,General Admission Phases,Medium Preference,Advertising and Marketing Management,evening,High School Level,132.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Service/Sales,Service/Sales,134.1,yes,no,no,yes,male,no,21,no,0,6,6,6,15.17,0,0,6,9,6,14.0,0,10.8,1.4,1.74,Non Dropout
single,General Admission Phases,High Preference,Veterinary Nursing,evening,High School Level,134.0,Portuguese,Medium Educated,Medium Educated,Unskilled Labor,Unskilled Labor,133.0,yes,no,no,yes,female,yes,20,no,0,6,8,6,15.14,0,0,6,8,6,15.14,0,11.1,0.6,2.02,Non Dropout
